Unnamed: 0,name,genre,emotions
1,Slaughterhouse-Five,"['Fiction', 'Classics', 'Science Fiction']","['Happy', 'Neutral']"
2,Crow Mary,['Historical Fiction'],['Frustration']
3,"The Six Deaths of the Saint (Into Shadow, #3)","['Horror', 'Historical Fiction']","['Frustration', 'Neutral']"
4,The Offing,"['Poetry', 'Travel']",['Frustration']
5,The Lost Continent: Travels in Small-Town America,['Travel'],['Frustration']
7,Into Thin Air: A Personal Account of the Mount Everest Disaster,"['Nonfiction', 'Travel']",['Frustration']
11,"A Thousand Recipes for Revenge (Chefs of the Five Gods, #1)",['Fantasy'],['Frustration']
12,Book Love,['Comics'],"['Sad', 'Neutral']"
13,Ward D,"['Horror', 'Suspense', 'Fiction', 'Crime', 'Thriller']","['Happy', 'Neutral']"
16,Whisperwood,['Horror'],['Neutral']
17,The Philosophy of Modern Song,"['Poetry', 'Art']",['Frustration']
20,I Have Some Questions for You,"['Suspense', 'Contemporary', 'Thriller']","['Happy', 'Neutral']"
22,"Shadow and Bone (The Shadow and Bone Trilogy, #1)","['Fantasy', 'Young Adult']",['Frustration']
26,"Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)",['Fantasy'],['Frustration']
30,People We Meet on Vacation,"['Contemporary', 'Romance', 'Travel', 'Chick Lit']","['Frustration', 'Sad', 'Neutral']"
35,The Vanishing of Margaret Small,['Historical Fiction'],['Frustration']
36,"Gigi, Listening",['Travel'],['Frustration']
37,"Life, the Universe and Everything (The Hitchhiker's Guide to the Galaxy, #3)","['Science Fiction', 'Humor']","['Happy', 'Neutral']"
40,The War of the Worlds,['Science Fiction'],"['Happy', 'Neutral']"
41,The Grimoire of Grave Fates,"['Horror', 'LGBT', 'Young Adult']",['Neutral']
43,"Scott Pilgrim vs. The World (Scott Pilgrim, #2)",['Comics'],"['Sad', 'Neutral']"
46,"How It Unfolds (The Far Reaches, #1)","['Fiction', 'Science Fiction']","['Happy', 'Neutral']"
47,Medusa,"['Fantasy', 'Historical Fiction', 'Graphic Novels']",['Frustration']
50,"Shanghai Immortal (Shanghai Immortal, #1)","['Fantasy', 'Historical Fiction']",['Frustration']
52,With a Kiss We Die,"['Suspense', 'Thriller']","['Happy', 'Neutral']"
54,Local Woman Missing,"['Crime', 'Thriller']","['Happy', 'Neutral']"
56,The Book Thief,"['Fiction', 'Historical Fiction', 'Young Adult']",['Frustration']
57,What Happens After Midnight,"['Romance', 'Chick Lit']","['Frustration', 'Sad', 'Neutral']"
62,"The Retreat (Detective Elin Warner, #2)",['Horror'],['Neutral']
66,"Gryphon in Light (Kelvren&#39;s Saga, #1)",['Fantasy'],['Frustration']
73,Behind Closed Doors,"['Suspense', 'Thriller']","['Happy', 'Neutral']"
74,"Delicates (Sheets, #2)","['Graphic Novels', 'Comics']","['Sad', 'Neutral']"
75,Spin,['Poetry'],['Frustration']
80,The Chain,['Horror'],['Neutral']
81,L’As de pique,"['Music', 'Young Adult']",['Frustration']
82,Starlings,"['Paranormal', 'Horror', 'Young Adult']",['Neutral']
84,Mother Howl,['Horror'],['Neutral']
93,Emergent Properties,"['Science Fiction', 'LGBT', 'Mystery']","['Happy', 'Neutral']"
94,My Husband,['Horror'],['Neutral']
99,Boy Parts,"['Horror', 'LGBT']",['Neutral']
101,What Have We Done,['Horror'],['Neutral']
102,"Crooked Kingdom (Six of Crows, #2)","['Fantasy', 'LGBT']",['Frustration']
103,When Clouds Touch Us,"['Poetry', 'Childrens']",['Frustration']
104,Gone with the Wind,['Historical Fiction'],['Frustration']
107,The Bones of the Story,"['Suspense', 'Thriller', 'Horror']","['Happy', 'Neutral']"
108,A Gentleman in Moscow,['Historical Fiction'],['Frustration']
111,The Boy in the Striped Pajamas,"['Classics', 'Historical Fiction']",['Frustration']
115,"Sheets (Sheets, #1)","['Fantasy', 'Graphic Novels', 'Paranormal', 'Comics']","['Frustration', 'Sad', 'Neutral']"
116,Autobiography of Red,['Poetry'],['Frustration']
117,Everything&#39;s Fine,"['Fiction', 'Romance']","['Frustration', 'Sad', 'Neutral']"
120,Critical Role: The Mighty Nein Origins: Mollymauk Tealeaf,"['Graphic Novels', 'Comics']","['Sad', 'Neutral']"
123,"Kingdom of the Wicked (Kingdom of the Wicked, #1)","['Fantasy', 'Paranormal', 'Historical Fiction', 'Young Adult']",['Frustration']
